Timestamp	What is your gender?	What year are you?	What is your relationship status?	Are you currently sexually active?	How frequently do you have sex?	How often do you masturbate?	Where have you had sex?	How often do you have "one night stands"?	How frequently do you watch porn?	Have you ever cheated on someone?	Have you ever been cheated on?	Do you consider yourself a virgin?	Have you ever had sex while under the influence? (check all that apply)	What department does your major belong to?	What sexual orientation do you most identify with?	Which of the following sex toys have you used during sex?	Have you ever paid for sex?	Were you a virgin when you first arrived at Mines?	Who of the following have you had sex with?	How confident are you in your sexual abilities?	How would you rate other Mines students' sexual abilities based on previous sexual encounters?	What of these sexual activities have you done?	Do you own any sex toys and/or have you used them?	Have you ever faked an orgasm?	What is your most common method of contraception and/or STD protection?	On a scale of 1 to 5, how happy are you with your sex life?	Have you ever had an STD?	Do you currently have an STD?	When was the last time you were tested for  STDs?	Have you ever been paid for sex?	What do you consider to be "sex"?	Have you ever sincerely used the term RIBS (Ratio Induced Bitchiness Syndrome)?	Any Comments?	What is your GPA?	At what bar/brewery do you spend the most time?	What operating system do you run on your personal computer?	Where do you usually study?	How frequently do you talk to your parents?	Have you had an internship?	How frequently do you exercise?	Did you vote in the November election?	Are you in-state or out-of-state?	How many facebook friends do you have?	In the last year, how many books did you start and finish?	In the last 12 months, how many different individuals have you had sex with?
2/4/2015 17:15:26	Attack Helicopter	Sophomore	In a committed relationship	Yes	1-2 times per month	A few times a week	An athletics field/stadium, A bedroom, A car, A shower/bathroom	Once a year (or when the stars align...)	A few times a week	Yes	Yes	No	Alcohol	Chemical and Biological Engineering	Apache	Dildo, Vibrator	No	No	A student from another college, A coworker	4	3	Had sex in a room where someone else was sleeping	I own them but don't use them (...what?)	No	Oral birth control	3	No	No	Within the past three months	No	Vaginal sex, Anal sex	No		3.73		Mac OS	At your house/dorm/apartment	Once a week	No	More than once a week	Yes	Out-of-State	400	None	2
2/4/2015 15:23:29	Female	Graduate Student	In a committed relationship	Yes	3-5 times per week	I have never masturbated	A bedroom, A car, A shower/bathroom	I have never had a one night stand.	Never	No	No	No	Alcohol, Prescription drugs (pain killers, etc)	Civil and Environmental Engineering	Asexual	Vibrator, Handcuffs, Blindfold, Ice	No	No	Another Mines student, A student from another college, Someone in your department, A coworker	4	2	Used props, Role play	I own and use them	Yes	Oral birth control	4	No	No	Within the past month	No	Vaginal sex	No		3.7	Mountain Toad	Mac OS	At your house/dorm/apartment	More than once a week	Yes	More than once a week	Yes	Out-of-State	350?	More than 15	5
2/4/2015 15:25:06	Female	Sophomore	In a committed relationship	Yes	1-2 times per month	I have never masturbated	A bedroom, A car, A shower/bathroom	I have never had a one night stand.	Never	No	No	No	Alcohol	Mechanical Engineering	Asexual		No	No	A student from another college	3	2	None of these.	I've never used them and I don't own any	No	Oral birth control	4	No	No	Never	No	Oral sex, Vaginal sex, Anal sex	No		2.5	none	Windows	At your house/dorm/apartment	Once a month	Yes	More than once a week	Yes	In-State	300	6-10	1
2/4/2015 18:43:15	Female	Graduate Student	Single	No	I am not sexually active.	A few times a month	A bedroom	I have never had a one night stand.	Never	No	No	No	None of these	Geophysics	Asexual	None of these.	No	No	None of these	1		None of these.	I've never used them and I don't own any	No	Oral birth control	5	No	No	A while ago...	No	Oral sex, Vaginal sex, Anal sex	No		3.809		Linux	Green Center	Once a week	Yes	More than once a week	Yes	In-State	351	None	0
2/4/2015 19:50:55	Female	Junior	Single	No	1-2 times per year (or when the stars align...)	Almost never	A shower/bathroom, Club or Bar	Once a year (or when the stars align...)	Almost never	No	No	No	Alcohol	Geophysics	Asexual	None of these.	No	No	None of these	3	3	None of these.	I've never used them and I don't own any	No	Oral birth control	3	No	No	A while ago...	No	Oral sex, Vaginal sex, Anal sex	No		3.1		Windows	Brown Building	Once a week	No	Once a week	Yes	In-State	50	More than 15	0
2/4/2015 16:15:41	Male	Junior	Single	Yes	1-2 times per year (or when the stars align...)	I have never masturbated	An athletics field/stadium, A bedroom, A car, A fraternity house, A campus building, A shower/bathroom, South/North Table, Kaf	Once a year (or when the stars align...)	More than once a day	No	Yes	No	Alcohol	Petroleum Engineering	Asexual	Handcuffs, Ice, Furry Suits, Ruler	No	No	Another Mines student, A student from another college, Teacher	5	3	Used props, Role play, Had sex in a room where someone else was sleeping, Lube	I own and use them	No	Male condoms	2	No	No	Never	No	Vaginal sex, Anal sex, Audial sex (yeah, we don't know either...)	Yes	I should get tested....	2.99	NA	Mac OS	Arthur Lakes Library	Once a month	No	Once a month	Yes	In-State	0	1	
2/4/2015 16:27:19	Prefer not to say	Sophomore	Single			Almost never			Never	No	No	Yes		Electrical Engineering and Computer Science	Asexual					1			I've never used them and I don't own any			5	No	No	Within the past year		Oral sex, Vaginal sex, Anal sex	No	I find it hilarious because I also do not like pizza and thus never eat it. That metaphor is more perfect than I would have thought.	2.8	none	Windows	At your house/dorm/apartment	Once a week	No	More than once a week	No	In-State	don't have a facebook	1	
2/4/2015 21:10:22	Transgender	Graduate Student	It's complicated	Yes	Once a day	More than once a day	An air plane, A bedroom, A car, A campus building, A shower/bathroom, The Library, Elevator, Forest	A few times a month	More than once a day	Yes	Yes	No	Acid, Adderall, Alcohol, Cocaine, Ecstasy, Heroin, Marijuana, Mushrooms, Methamphetamines	Liberal Arts and International Studies	Asexual	Whip(s), Dildo, Vibrator, Handcuffs, Blindfold, Anal Plug, Furry Suits, Ben Wa Balls	No	No	Another Mines student, A student from another college, Someone in your department, A coworker, A Golden bartender or waiter	5	2	Used props, Threesome (or more...), Role play, Had sex in a room where someone else was sleeping, Used chatroulette for things not in the "terms of use..." In other words, broadcast a sex show., Anal sex	I own and use them	Yes	Orgasmic timing (or as the kids say, "pulling out")	3	Yes	No	Within the past month	Yes	Kissing, Oral sex, Vaginal sex, Anal sex, Audial sex (yeah, we don't know either...)	Yes		4	Golden City Brewery	Linux	At your house/dorm/apartment	Once a semester	No	More than once a week	No	In-State	2000	None	4
2/4/2015 15:06:32	Female	Sophomore	Single	No	1-2 times per year (or when the stars align...)	A few times a week		I have never had a one night stand.	Once a week	No	No	No	Alcohol, Cocaine	Geophysics	Bisexual	Dildo, Vibrator	No	No	Another Mines student	1	1		I own and use them	No		2	No	No	Never	No	Oral sex, Vaginal sex, Anal sex	No		3.8		Mac OS	Green Center	Once a month	No	Almost never	Yes	In-State	400	6-10	1
2/4/2015 15:07:13	Female	Junior	In an open relationship	Yes	3-5 times per week	Once a day	A bedroom, A car, A shower/bathroom	Once a year (or when the stars align...)	Almost never	Yes	No	No	Alcohol, Marijuana, Prescription drugs (pain killers, etc)	Civil and Environmental Engineering	Bisexual	Whip(s), Dildo, Vibrator, Cock Ring, Handcuffs, Cages, Blindfold, Anal Plug, Ice, Wax, Ben Wa Balls	No	No	None of these	5	3	Used props, Threesome (or more...), Role play, Had sex in a room where someone else was sleeping, Anal sex	I own and use them	Yes	An intrauterine device (IUD)	4	Yes	No	Within the past three months	No	Oral sex, Vaginal sex, Anal sex	No		3.5	Mountain Toad	Windows	Arthur Lakes Library	Once a month	No	Once a week	Yes	In-State	35	6-10	4
2/4/2015 15:08:43	Female	Freshman	Single			Almost never			Never	No	No	Yes		Mining Engineering	Bisexual					1			I've never used them and I don't own any			1	No	No	Never		Oral sex, Vaginal sex, Anal sex	No		3.1		Windows	At your house/dorm/apartment	Once a month	Yes	More than once a week	Yes	In-State	~400	More than 15	
2/4/2015 15:09:39	Female	Sophomore	Single			A few times a week			A few times a month	No	No	Yes		Civil and Environmental Engineering	Bisexual					1			I've never used them and I don't own any			1	No	No	Within the past year		Vaginal sex, Anal sex	No		3.7	Blue Canyon	Windows	At your house/dorm/apartment	More than once a week	Yes	Almost never	No	Out-of-State	450	6-10	
2/4/2015 15:12:02	Female	Junior	In an open relationship	Yes	1-2 times per week	Almost never	A bedroom, A car, A fraternity house, A campus building, A shower/bathroom	I have never had a one night stand.	Never	No	No	No	Adderall, Alcohol	Mechanical Engineering	Bisexual	Dildo, Vibrator, Cock Ring, Handcuffs, Blindfold	No	No	Another Mines student, A student from another college, A coworker	4	4	Used props, Role play, Had sex in a room where someone else was sleeping	I own and use them	Yes	Male condoms	5	No	No	Within the past month	No	Vaginal sex	Yes		3.3	Rock Rest Lodge	Windows	Arthur Lakes Library	More than once a week	Yes	More than once a week	Yes	Out-of-State	900	6-10	2
2/4/2015 15:13:12	Female	Sophomore	Single			Almost never			Never	No	No	Yes		Physics	Bisexual					1			I've never used them and I don't own any			1	No	No	Never		Oral sex, Vaginal sex, Anal sex	No		3.2		Linux	At your house/dorm/apartment	Once a week	No	2-3 times per month	Yes	In-State	233	More than 15	
